Age,Gender,MaritalStatus,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,PerformanceResult
Main labor group,Male,Married,Bachelor,Medical,Sales Executive,Very High,Low,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Below College,Life Sciences,Finance Manager,Low,Very High,Best,Silver range,Copper range,Needs Improvement
Middle-aged labor group,Male,Married,Bachelor,Marketing,Manager,High,High,Better,Diamond range,no exps,Meet Expectation
Young labor group,Male,Married,Bachelor,Technical Degree,Finance Manager,Very High,Very High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Finance Manager,Medium,Very High,Good,Silver range,Silver range,Needs Improvement
Main labor group,Male,Married,Master,Technical Degree,Finance Manager,Very High,Medium,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Technical Degree,Finance Manager,Very High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Finance Manager,High,High,Better,Copper range,Copper range,Meet Expectation
Young labor group,Female,Married,College,Other,Finance Manager,Medium,Medium,Good,Copper range,Copper range,Needs Improvement
Middle-aged labor group,Male,Married,Doctor,Medical,Finance Manager,Medium,High,Better,Diamond range,Silver range,Needs Improvement
Main labor group,Female,Married,Master,Other,Finance Manager,Medium,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Divorced,Bachelor,Medical,Finance Manager,Medium,Very High,Good,Diamond range,Silver range,Needs Improvement
Main labor group,Male,Married,Bachelor,Medical,Finance Manager,Medium,Medium,Good,Silver range,Copper range,Needs Improvement
Middle-aged labor group,Female,Single,Doctor,Medical,Finance Manager,High,Low,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Marketing,Sales Executive,Low,Low,Better,Silver range,Silver range,Needs Improvement
Main labor group,Male,Single,Master,Other,Sales Executive,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Master,Life Sciences,Finance Manager,High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Master,Life Sciences,Finance Manager,High,Low,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Female,Married,Master,Life Sciences,Finance Manager,High,Very High,Good,Silver range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Other,Finance Manager,Very High,Low,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Doctor,Life Sciences,Finance Manager,Medium,Very High,Better,Gold range,Gold range,Needs Improvement
Main labor group,Female,Divorced,Bachelor,Medical,Finance Manager,Medium,Medium,Good,Silver range,Copper range,Meet Expectation
Young labor group,Male,Single,Below College,Medical,Finance Manager,High,High,Better,Copper range,Copper range,Meet Expectation
Young labor group,Female,Single,College,Medical,Sales Representative,Medium,High,Best,no exps,no exps,Meet Expectation
Middle-aged labor group,Female,Married,Master,Life Sciences,Manager,Very High,High,Better,Diamond range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Medical,Finance Manager,High,Very High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Female,Married,Master,Life Sciences,Finance Manager,High,Very High,Better,Gold range,Gold range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Finance Manager,High,Low,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Bachelor,Medical,Finance Manager,Low,Very High,Bad,Silver range,Copper range,Needs Improvement
Main labor group,Female,Married,College,Medical,Finance Manager,Very High,Very High,Best,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Medical,Finance Manager,Medium,Low,Bad,Silver range,Copper range,Needs Improvement
Main labor group,Female,Single,Bachelor,Life Sciences,Finance Manager,High,Very High,Good,Gold range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Doctor,Human Resources,Human Resources,Low,High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Divorced,College,Medical,Sales Executive,Low,Very High,Good,Silver range,Copper range,Needs Improvement
Young labor group,Female,Single,Below College,Technical Degree,Finance Manager,Low,High,Better,Silver range,Copper range,Needs Improvement
Main labor group,Female,Married,Bachelor,Medical,Finance Manager,Medium,Low,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Medical,Finance Manager,Very High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Below College,Life Sciences,Finance Manager,Very High,High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Finance Manager,Very High,High,Better,Silver range,Copper range,Exceed Expectation
Middle-aged labor group,Female,Married,Master,Other,Finance Manager,Low,Medium,Better,Diamond range,Copper range,Needs Improvement
Middle-aged labor group,Female,Divorced,Doctor,Life Sciences,Finance Manager,Very High,High,Better,Gold range,Gold range,Meet Expectation
Young labor group,Female,Single,Bachelor,Medical,Sales Representative,High,Low,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Life Sciences,Finance Manager,Very High,High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Finance Manager,Low,High,Better,Gold range,Copper range,Needs Improvement
Middle-aged labor group,Female,Married,Below College,Life Sciences,Finance Manager,High,Medium,Better,Diamond range,Gold range,Meet Expectation
Main labor group,Female,Married,Master,Medical,Finance Manager,Very High,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Life Sciences,Finance Manager,Very High,Low,Better,Gold range,Copper range,Exceed Expectation
Old labor group,Female,Married,Doctor,Medical,Finance Manager,Medium,High,Better,Diamond range,Silver range,Needs Improvement
Middle-aged labor group,Male,Married,College,Life Sciences,Finance Manager,High,Low,Better,Gold range,Silver range,Exceed Expectation
Main labor group,Male,Single,Master,Other,Sales Executive,Very High,Low,Best,Gold range,Silver range,Exceed Expectation
Main labor group,Male,Divorced,Bachelor,Medical,Sales Executive,Low,Medium,Good,Silver range,no exps,Meet Expectation
Main labor group,Male,Divorced,Master,Medical,Sales Executive,Very High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Medical,Finance Manager,Very High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Master,Life Sciences,Sales Executive,Low,Low,Better,Silver range,no exps,Meet Expectation
Middle-aged labor group,Female,Divorced,Bachelor,Medical,Finance Manager,Very High,Medium,Good,Gold range,Copper range,Meet Expectation
Young labor group,Male,Single,Below College,Life Sciences,Sales Representative,Very High,Low,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Life Sciences,Sales Executive,High,High,Better,Silver range,Copper range,Exceed Expectation
Main labor group,Male,Married,Master,Life Sciences,Finance Manager,Low,Medium,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Divorced,Bachelor,Life Sciences,Human Resources,High,Low,Better,Silver range,Copper range,Meet Expectation
Young labor group,Male,Single,Below College,Medical,Finance Manager,Very High,Low,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,College,Medical,Finance Manager,Very High,Very High,Good,Silver range,no exps,Meet Expectation
Old labor group,Male,Married,Master,Medical,Finance Manager,Medium,High,Better,Gold range,Copper range,Needs Improvement
Middle-aged labor group,Female,Married,College,Medical,Sales Representative,Very High,High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Single,Master,Life Sciences,Finance Manager,Very High,Low,Better,Copper range,no exps,Meet Expectation
Main labor group,Male,Single,Bachelor,Medical,Finance Manager,Very High,High,Better,Silver range,Silver range,Exceed Expectation
Old labor group,Male,Divorced,Bachelor,Technical Degree,Finance Manager,Low,Very High,Better,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,College,Medical,Manager R&D,Medium,High,Best,Gold range,Silver range,Needs Improvement
Old labor group,Male,Divorced,Master,Medical,Healthcare Representative,High,High,Best,Gold range,no exps,Exceed Expectation
Main labor group,Male,Divorced,Master,Medical,Sales Executive,High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Research Scientist,Medium,Medium,Better,Silver range,Silver range,Needs Improvement
Middle-aged labor group,Female,Married,Bachelor,Life Sciences,Healthcare Representative,High,Medium,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Medical,Sales Executive,Very High,Low,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Married,Master,Medical,Manager R&D,Very High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Master,Life Sciences,Sales Representative,High,High,Good,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,Below College,Life Sciences,Manager R&D,High,Very High,Good,Diamond range,Gold range,Exceed Expectation
Main labor group,Male,Married,Master,Medical,Laboratory Technician,Very High,High,Best,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Single,College,Technical Degree,Manager R&D,Very High,High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Laboratory Technician,Medium,Very High,Best,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Human Resources,Human Resources,High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,College,Life Sciences,Manufacturing Director,Medium,Medium,Better,Gold range,no exps,Meet Expectation
Young labor group,Male,Divorced,Below College,Medical,Laboratory Technician,Medium,Medium,Best,Silver range,Copper range,Needs Improvement
Middle-aged labor group,Male,Single,Master,Life Sciences,Healthcare Representative,High,Very High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Research Scientist,Medium,Medium,Good,Silver range,no exps,Meet Expectation
Middle-aged labor group,Male,Married,Master,Marketing,Sales Executive,High,Very High,Bad,Copper range,no exps,Meet Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Life Sciences,Sales Executive,High,Medium,Good,Gold range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Doctor,Marketing,Sales Executive,Medium,Medium,Better,Gold range,Copper range,Needs Improvement
Main labor group,Male,Single,College,Life Sciences,Sales Executive,Low,Medium,Better,Silver range,no exps,Meet Expectation
Main labor group,Female,Single,Below College,Technical Degree,Manufacturing Director,Very High,Very High,Good,Silver range,Copper range,Exceed Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Laboratory Technician,Very High,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Sales Executive,Very High,High,Bad,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Medical,Manager,Medium,Medium,Good,Diamond range,Silver range,Needs Improvement
Middle-aged labor group,Female,Married,Bachelor,Life Sciences,Human Resources,High,High,Best,Silver range,no exps,Exceed Expectation
Main labor group,Female,Single,Master,Technical Degree,Manager R&D,Very High,Very High,Better,Silver range,Silver range,Meet Expectation
Young labor group,Male,Married,Bachelor,Medical,Human Resources,Low,Very High,Better,Copper range,Copper range,Needs Improvement
Main labor group,Female,Divorced,Bachelor,Human Resources,Human Resources,High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Technical Degree,Sales Executive,Low,High,Better,Silver range,Copper range,Exceed Expectation
Main labor group,Female,Single,Bachelor,Medical,Manager R&D,High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Bachelor,Marketing,Sales Representative,Medium,High,Better,Copper range,Copper range,Needs Improvement
Main labor group,Male,Single,Bachelor,Life Sciences,Healthcare Representative,Very High,Very High,Best,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Marketing,Sales Executive,High,Low,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Master,Medical,Research Scientist,Very High,Low,Better,Silver range,no exps,Meet Expectation
Main labor group,Female,Single,Bachelor,Marketing,Sales Executive,Very High,Very High,Good,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Female,Single,Master,Marketing,Sales Executive,Very High,High,Best,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Bachelor,Life Sciences,Sales Executive,Low,High,Good,Gold range,no exps,Exceed Expectation
Main labor group,Female,Married,College,Medical,Laboratory Technician,High,Medium,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Technical Degree,Research Scientist,Medium,Medium,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Healthcare Representative,Medium,High,Better,Gold range,no exps,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Technical Degree,Research Scientist,High,Very High,Better,Silver range,no exps,Meet Expectation
Old labor group,Male,Married,Bachelor,Medical,Research Director,High,Medium,Better,Diamond range,no exps,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Technical Degree,Research Scientist,Very High,Very High,Good,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Divorced,Master,Life Sciences,Laboratory Technician,High,Medium,Better,Copper range,Copper range,Outstanding
Main labor group,Male,Divorced,Bachelor,Life Sciences,Sales Executive,Very High,High,Better,Gold range,Gold range,Meet Expectation
Old labor group,Female,Married,Master,Medical,Manufacturing Director,Low,Very High,Good,Diamond range,Copper range,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Human Resources,Medium,Medium,Better,Silver range,Silver range,Needs Improvement
Main labor group,Female,Single,College,Life Sciences,Sales Executive,Very High,Low,Better,Silver range,Copper range,Meet Expectation
Young labor group,Male,Single,Below College,Marketing,Sales Representative,Medium,Medium,Better,Copper range,no exps,Meet Expectation
Main labor group,Female,Married,College,Other,Manager R&D,Very High,Medium,Better,Copper range,Copper range,Meet Expectation
Young labor group,Female,Married,Below College,Medical,Manager R&D,High,High,Better,Copper range,no exps,Meet Expectation
Main labor group,Female,Married,Master,Marketing,Sales Executive,Low,Low,Better,Gold range,Silver range,Needs Improvement
Middle-aged labor group,Male,Divorced,Master,Medical,Research Director,High,High,Better,Diamond range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Manager R&D,Very High,Very High,Better,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Divorced,College,Medical,Research Scientist,High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Other,Human Resources,High,High,Good,Gold range,no exps,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Research Scientist,Very High,Medium,Better,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,College,Life Sciences,Sales Executive,Medium,High,Better,Silver range,Copper range,Needs Improvement
Main labor group,Female,Married,College,Life Sciences,Laboratory Technician,High,Very High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Medical,Manager R&D,Medium,High,Better,Gold range,Silver range,Needs Improvement
Main labor group,Male,Divorced,Bachelor,Human Resources,Human Resources,Low,Very High,Better,Gold range,Silver range,Needs Improvement
Main labor group,Male,Married,Master,Life Sciences,Laboratory Technician,Very High,High,Good,Gold range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Life Sciences,Sales Executive,High,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Research Scientist,Low,High,Good,Silver range,Copper range,Needs Improvement
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Healthcare Representative,Medium,Low,Bad,Gold range,Copper range,Needs Improvement
Middle-aged labor group,Female,Divorced,Below College,Marketing,Sales Executive,High,Very High,Best,Diamond range,Gold range,Meet Expectation
Main labor group,Male,Married,College,Technical Degree,Sales Executive,Medium,High,Better,Silver range,Silver range,Needs Improvement
Old labor group,Male,Divorced,Bachelor,Medical,Manager,Medium,Very High,Good,Diamond range,Silver range,Needs Improvement
Main labor group,Male,Married,Master,Medical,Laboratory Technician,Medium,Medium,Best,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Divorced,Bachelor,Life Sciences,Manager R&D,High,High,Better,Diamond range,Gold range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Life Sciences,Healthcare Representative,Medium,Medium,Better,Gold range,Copper range,Needs Improvement
Old labor group,Female,Married,Master,Medical,Research Scientist,Very High,Medium,Good,Gold range,Copper range,Meet Expectation
Main labor group,Female,Married,Master,Marketing,Sales Executive,Low,Very High,Better,Silver range,Copper range,Needs Improvement
Main labor group,Female,Married,Master,Marketing,Sales Representative,Medium,Low,Good,Gold range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Medical,Sales Executive,High,Low,Better,Copper range,Copper range,Meet Expectation
Old labor group,Male,Married,Master,Life Sciences,Manager R&D,Low,Medium,Better,Diamond range,Copper range,Needs Improvement
Young labor group,Female,Single,Bachelor,Medical,Manager R&D,Medium,High,Bad,no exps,no exps,Meet Expectation
Main labor group,Male,Married,Doctor,Human Resources,Human Resources,Very High,High,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Female,Married,Master,Life Sciences,Sales Executive,High,Medium,Best,Silver range,Silver range,Exceed Expectation
Main labor group,Female,Married,Master,Other,Research Scientist,Very High,Very High,Better,Gold range,no exps,Exceed Expectation
Middle-aged labor group,Male,Married,Master,Life Sciences,Sales Executive,Low,High,Better,Silver range,Silver range,Needs Improvement
Main labor group,Female,Single,College,Life Sciences,Manager R&D,Very High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Medical,Laboratory Technician,Very High,Medium,Best,Gold range,Silver range,Meet Expectation
Main labor group,Male,Single,Master,Marketing,Sales Executive,Very High,High,Best,Copper range,no exps,Meet Expectation
Middle-aged labor group,Male,Married,Master,Technical Degree,Research Scientist,High,Medium,Good,Silver range,Copper range,Exceed Expectation
Middle-aged labor group,Female,Single,Master,Life Sciences,Laboratory Technician,Medium,High,Better,Silver range,Copper range,Needs Improvement
Middle-aged labor group,Male,Divorced,College,Life Sciences,Manufacturing Director,Very High,High,Good,Gold range,Silver range,Meet Expectation
Main labor group,Male,Divorced,College,Life Sciences,Human Resources,High,Medium,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Below College,Life Sciences,Healthcare Representative,Very High,Very High,Better,Gold range,no exps,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Manager R&D,Very High,Very High,Better,Silver range,no exps,Meet Expectation
Main labor group,Male,Single,Master,Marketing,Sales Executive,High,High,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Divorced,Bachelor,Technical Degree,Sales Executive,Low,Very High,Better,Diamond range,Gold range,Needs Improvement
Main labor group,Female,Married,Below College,Medical,Sales Representative,Medium,Very High,Better,Silver range,Silver range,Needs Improvement
Main labor group,Male,Married,Below College,Medical,Human Resources,Very High,Very High,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Life Sciences,Manager R&D,Very High,Very High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Single,College,Life Sciences,Research Scientist,Very High,Medium,Good,Copper range,no exps,Exceed Expectation
Old labor group,Male,Married,Master,Technical Degree,Research Scientist,Medium,Medium,Best,Gold range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Medical,Sales Representative,Medium,Very High,Better,Copper range,no exps,Meet Expectation
Main labor group,Male,Single,Bachelor,Medical,Sales Representative,Medium,High,Good,Copper range,no exps,Meet Expectation
Young labor group,Male,Single,Below College,Life Sciences,Research Scientist,Very High,Low,Better,Copper range,no exps,Exceed Expectation
Main labor group,Female,Married,Master,Technical Degree,Sales Executive,Medium,Low,Better,Silver range,Silver range,Needs Improvement
Main labor group,Male,Married,Bachelor,Life Sciences,Sales Executive,High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Laboratory Technician,Very High,Medium,Better,Gold range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Medical,Research Scientist,Very High,High,Better,Gold range,Copper range,Exceed Expectation
Main labor group,Female,Married,College,Other,Manufacturing Director,Very High,Very High,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,College,Life Sciences,Manufacturing Director,Medium,Very High,Good,Silver range,Silver range,Needs Improvement
Main labor group,Male,Single,Below College,Human Resources,Human Resources,Medium,Very High,Good,Silver range,Copper range,Exceed Expectation
Main labor group,Male,Divorced,Master,Life Sciences,Manager R&D,Low,Low,Better,Diamond range,Silver range,Needs Improvement
Main labor group,Female,Married,College,Life Sciences,Research Scientist,Medium,High,Good,Copper range,no exps,Meet Expectation
Main labor group,Female,Single,College,Medical,Sales Executive,Low,Medium,Good,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Female,Divorced,Bachelor,Medical,Manager,Very High,Medium,Better,Diamond range,Gold range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Life Sciences,Healthcare Representative,Medium,Very High,Better,Silver range,no exps,Meet Expectation
Main labor group,Male,Married,Master,Technical Degree,Research Scientist,Very High,Medium,Better,Copper range,Copper range,Exceed Expectation
Old labor group,Male,Single,College,Life Sciences,Manager R&D,Low,Very High,Better,Copper range,Copper range,Needs Improvement
Main labor group,Male,Married,College,Marketing,Sales Executive,High,High,Bad,Gold range,Copper range,Needs Improvement
Middle-aged labor group,Female,Married,Bachelor,Marketing,Sales Executive,High,High,Better,Gold range,Copper range,Exceed Expectation
Middle-aged labor group,Male,Married,Bachelor,Medical,Manager R&D,High,Medium,Best,Gold range,Silver range,Meet Expectation
Main labor group,Female,Divorced,College,Medical,Sales Executive,High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Below College,Medical,Sales Executive,Very High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Medical,Laboratory Technician,Low,Medium,Good,Copper range,Copper range,Needs Improvement
Main labor group,Male,Married,Bachelor,Other,Manager R&D,High,Low,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,Master,Medical,Manager R&D,Medium,High,Better,Gold range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Marketing,Sales Executive,Medium,Medium,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,College,Life Sciences,Sales Executive,High,High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Married,Master,Life Sciences,Sales Executive,Low,High,Better,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,Master,Technical Degree,Manager R&D,Medium,High,Good,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,Master,Other,Research Scientist,High,Medium,Better,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Technical Degree,Manager R&D,High,High,Best,Gold range,Silver range,Meet Expectation
Old labor group,Female,Married,Doctor,Marketing,Sales Executive,Very High,High,Better,Silver range,no exps,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Medical,Manager R&D,Very High,High,Better,Gold range,Gold range,Meet Expectation
Old labor group,Female,Married,Bachelor,Life Sciences,Manager,Very High,High,Good,Diamond range,no exps,Meet Expectation
Main labor group,Female,Single,College,Life Sciences,Research Scientist,Low,Low,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Life Sciences,Manager R&D,Medium,Very High,Best,Silver range,Copper range,Exceed Expectation
Middle-aged labor group,Male,Married,Below College,Life Sciences,Manager R&D,Medium,Very High,Better,Diamond range,Copper range,Needs Improvement
Middle-aged labor group,Male,Divorced,Master,Marketing,Sales Executive,Medium,High,Better,Gold range,no exps,Meet Expectation
Main labor group,Female,Married,Bachelor,Human Resources,Human Resources,Low,Low,Better,Copper range,no exps,Meet Expectation
Main labor group,Male,Married,Master,Medical,Sales Executive,Medium,Very High,Bad,Silver range,Copper range,Needs Improvement
Main labor group,Male,Single,Bachelor,Medical,Manager R&D,High,High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Medical,Research Scientist,High,Very High,Best,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Manager R&D,Low,Medium,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Marketing,Sales Executive,Low,Low,Good,Gold range,Silver range,Needs Improvement
Main labor group,Male,Divorced,Master,Medical,Sales Executive,Very High,High,Good,Silver range,Silver range,Meet Expectation
Main labor group,Male,Single,Bachelor,Medical,Laboratory Technician,High,Very High,Good,Silver range,Silver range,Meet Expectation
Main labor group,Female,Divorced,Master,Medical,Manager R&D,High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Technical Degree,Manager R&D,High,Low,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Sales Representative,Low,Low,Good,Gold range,no exps,Meet Expectation
Main labor group,Female,Married,Master,Life Sciences,Sales Executive,High,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Single,Bachelor,Marketing,Sales Executive,Very High,Low,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Single,Master,Life Sciences,Manager R&D,Very High,Medium,Better,Silver range,no exps,Exceed Expectation
Main labor group,Male,Married,Master,Marketing,Sales Executive,Low,High,Better,Silver range,Silver range,Meet Expectation
Old labor group,Male,Single,Master,Life Sciences,Sales Executive,Low,Medium,Good,Gold range,Copper range,Needs Improvement
Old labor group,Female,Married,College,Life Sciences,Research Scientist,Low,High,Good,Silver range,Copper range,Needs Improvement
Main labor group,Male,Divorced,College,Life Sciences,Manager R&D,Very High,High,Better,Silver range,Silver range,Exceed Expectation
Middle-aged labor group,Male,Married,Bachelor,Life Sciences,Healthcare Representative,Low,Medium,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Master,Other,Human Resources,Very High,Medium,Better,Silver range,Copper range,Meet Expectation
Old labor group,Male,Married,Master,Human Resources,Manager,High,Low,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Divorced,Below College,Medical,Manager R&D,Very High,High,Better,Copper range,no exps,Meet Expectation
Main labor group,Male,Single,Master,Marketing,Sales Executive,Medium,Low,Better,Diamond range,Silver range,Needs Improvement
Middle-aged labor group,Male,Single,College,Life Sciences,Research Scientist,Very High,Very High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Female,Married,Bachelor,Medical,Research Director,High,High,Best,Gold range,Silver range,Outstanding
Old labor group,Female,Single,Bachelor,Medical,Manufacturing Director,High,Very High,Better,Silver range,Copper range,Meet Expectation
Young labor group,Male,Single,College,Life Sciences,Healthcare Representative,Medium,Medium,Good,Copper range,Copper range,Needs Improvement
Young labor group,Male,Single,College,Other,Laboratory Technician,Very High,High,Best,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Technical Degree,Laboratory Technician,Very High,Low,Best,Silver range,Silver range,Meet Expectation
Main labor group,Female,Married,College,Marketing,Sales Executive,Medium,High,Better,Gold range,Silver range,Needs Improvement
Main labor group,Female,Married,Bachelor,Human Resources,Human Resources,High,High,Better,Silver range,no exps,Meet Expectation
Main labor group,Male,Married,College,Medical,Laboratory Technician,Very High,High,Good,Gold range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Below College,Other,Laboratory Technician,Very High,High,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Medical,Manager R&D,Low,Medium,Better,Diamond range,Gold range,Needs Improvement
Main labor group,Male,Married,Master,Life Sciences,Sales Executive,Very High,Low,Better,Gold range,Gold range,Meet Expectation
Main labor group,Male,Married,College,Life Sciences,Sales Representative,Low,High,Better,Copper range,Copper range,Needs Improvement
Middle-aged labor group,Male,Divorced,Master,Life Sciences,Research Scientist,Very High,High,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Life Sciences,Research Scientist,Very High,Low,Better,Gold range,Copper range,Exceed Expectation
Middle-aged labor group,Female,Married,Below College,Medical,Research Scientist,High,Low,Bad,Gold range,Silver range,Needs Improvement
